,y_pred
763,7.407951354980469
764,7.510164260864258
765,7.188188076019287
766,7.227366924285889
767,7.130652904510498
768,7.701007843017578
769,7.34506368637085
770,6.558704376220703
771,7.275364398956299
772,8.146886825561523
773,7.880713939666748
774,7.0849809646606445
775,6.272995948791504
776,7.355947494506836
777,6.637550354003906
778,7.442662715911865
779,7.154670715332031
780,6.299253940582275
781,5.2771406173706055
782,7.481454372406006
783,7.407176971435547
784,7.373517990112305
785,7.781133651733398
786,7.398534774780273
787,7.500281810760498
788,7.271390438079834
789,7.6473917961120605
790,7.700207233428955
791,7.300846576690674
792,7.705557346343994
793,7.30696964263916
794,7.514547348022461
795,7.822249412536621
796,7.230720043182373
797,7.009233474731445
798,8.16706371307373
799,6.03638219833374
800,6.965085029602051
801,6.968804836273193
802,7.1390533447265625
803,7.4524617195129395
804,7.401362419128418
805,7.496341228485107
806,8.201586723327637
807,5.998100280761719
808,7.748115062713623
809,7.341264724731445
810,7.4838385581970215
811,8.402153015136719
812,7.581954479217529
813,7.8421807289123535
814,6.639791488647461
815,7.616394996643066
816,7.9386887550354
817,7.774278163909912
818,7.604534149169922
819,5.201369285583496
820,7.718059539794922
821,4.7705302238464355
822,7.5718488693237305
823,7.4756879806518555
824,7.575376033782959
825,7.779134750366211
826,6.904199123382568
827,7.5721259117126465
828,7.303802013397217
829,5.5773606300354
830,5.8816752433776855
831,7.5823259353637695
832,7.707719326019287
833,7.227451324462891
834,7.128235340118408
835,7.4402031898498535
836,7.531127452850342
837,6.906511306762695
838,8.57717227935791
839,8.06545352935791
840,6.730893611907959
841,7.474151611328125
842,7.53298807144165
843,7.209275245666504
844,7.87428092956543
845,7.757631301879883
846,6.577279090881348
847,5.027255058288574
848,7.422879219055176
849,8.083860397338867
850,7.3665080070495605
851,7.303112506866455
852,7.479128360748291
853,7.43652868270874
854,7.635966777801514
855,7.264522552490234
856,5.255157470703125
857,7.13799524307251
858,7.501510143280029
859,8.373126983642578
860,7.706173896789551
861,5.67193078994751
862,6.685401439666748
863,6.985633373260498
864,7.415787696838379
865,7.570732593536377
866,6.755984306335449
867,7.2889018058776855
868,7.40319299697876
869,6.680916786193848
870,7.614077091217041
871,7.54597806930542
872,7.541931629180908
873,7.376937389373779
874,7.2591962814331055
875,7.711919784545898
876,7.718308925628662
877,7.51377010345459
878,7.5059895515441895
879,7.597846031188965
880,7.621599197387695
881,6.78054666519165
882,7.683633327484131
883,7.865532398223877
884,7.899242877960205
885,7.059609889984131
886,7.771446704864502
887,8.26850700378418
